nbatch	trainL	validL	elapsed	throughput
326	12.730	17.342	0.608	20.217
327	12.559	17.280	0.606	20.285
328	12.529	17.438	0.659	18.635
329	12.460	17.488	0.634	19.368
330	12.410	17.475	0.620	19.820
331	12.386	17.472	0.607	20.250
332	12.405	17.642	0.596	20.627
333	12.343	17.801	0.609	20.181
334	12.682	17.805	0.609	20.190
335	12.613	17.706	0.611	20.100
336	12.613	17.753	0.610	20.142
337	12.487	17.720	0.610	20.132
338	12.446	17.580	0.607	20.232
339	12.360	17.643	0.604	20.357
340	12.369	17.628	0.636	19.332
341	12.371	17.557	0.631	19.460
342	12.323	17.672	0.619	19.836
343	12.352	17.833	0.612	20.079
344	12.327	17.827	0.606	20.292
345	12.232	17.852	0.599	20.502
346	12.185	17.887	0.597	20.570
347	12.114	17.794	0.623	19.735
348	12.049	17.815	0.618	19.870
349	12.068	17.765	0.606	20.269
350	12.224	17.792	0.600	20.478
351	12.113	17.741	0.597	20.574
352	12.073	17.747	0.656	18.738
353	11.898	17.692	0.661	18.582
354	11.874	17.750	0.631	19.487
355	11.988	17.924	0.617	19.928
356	12.087	17.897	0.608	20.196
357	12.243	17.793	0.602	20.416
358	12.205	17.847	0.595	20.644
359	12.096	17.858	0.599	20.528
360	12.031	17.929	0.597	20.570
361	12.033	17.912	0.601	20.432
362	12.063	17.903	0.650	18.896
363	12.024	17.772	0.637	19.277
364	11.852	17.645	0.610	20.146
365	11.645	17.698	0.595	20.643
366	11.554	17.606	0.604	20.354
367	11.509	17.618	0.612	20.073
368	11.422	17.650	0.606	20.264
369	11.425	17.677	0.606	20.289
370	11.387	17.583	0.611	20.117
371	11.405	17.470	0.648	18.955
372	11.314	17.476	0.622	19.759
373	11.386	17.474	0.616	19.942
374	11.356	17.306	0.612	20.072
375	11.311	17.243	0.618	19.889
376	11.245	17.248	0.609	20.182
377	11.217	17.305	0.604	20.334
378	11.165	17.513	0.596	20.609
379	11.441	17.797	0.598	20.537
380	11.513	17.721	0.637	19.276
381	11.365	17.702	0.623	19.727
382	11.267	17.631	0.620	19.807
383	11.201	17.504	0.615	19.973
384	11.060	17.436	0.609	20.178
385	10.922	17.446	0.611	20.104
386	10.830	17.546	0.610	20.159
387	10.754	17.486	0.610	20.151
388	10.761	17.601	0.611	20.096
389	10.722	17.751	0.614	20.020
390	11.105	17.886	0.622	19.752
391	11.502	18.173	0.615	19.978
392	11.976	17.968	0.606	20.281
393	12.015	17.815	0.617	19.910
394	11.775	17.651	0.615	19.980
395	11.565	17.658	0.619	19.854
396	11.394	17.599	0.612	20.091
397	11.235	17.545	0.603	20.368
398	11.048	17.560	0.617	19.919
399	10.945	17.637	0.614	20.024
400	11.010	17.629	0.613	20.054
401	11.011	17.611	0.629	19.534
402	11.027	17.486	0.624	19.687
403	11.011	17.356	0.615	19.996
404	11.078	17.360	0.606	20.282
405	11.040	17.387	0.610	20.134
406	11.120	17.365	0.612	20.086
407	11.219	17.344	0.612	20.063
408	11.424	17.375	0.611	20.098
409	11.368	17.405	0.609	20.174
410	11.322	17.552	0.610	20.151
411	11.185	17.486	0.606	20.289
412	11.102	17.470	0.652	18.844
413	11.013	17.602	0.646	19.011
414	10.919	17.507	0.623	19.725
415	10.817	17.451	0.609	20.185
416	10.738	17.500	0.602	20.405
417	10.715	17.611	0.596	20.630
418	10.747	17.723	0.611	20.097
419	10.817	17.843	0.610	20.130
420	11.071	17.705	0.611	20.122
421	11.018	17.676	0.611	20.098
422	10.955	17.604	0.606	20.291
423	10.844	17.506	0.610	20.139
424	10.770	17.436	0.610	20.134
425	10.772	17.509	0.646	19.022
426	10.723	17.497	0.633	19.404
427	10.696	17.365	0.602	20.423
428	10.605	17.323	0.600	20.469
429	10.457	17.209	0.605	20.310
430	10.364	17.144	0.605	20.301
431	10.277	17.251	0.608	20.221
432	10.237	17.242	0.649	18.927
433	10.218	17.348	0.638	19.253
434	10.132	17.357	0.622	19.750
435	10.200	17.487	0.606	20.291
436	10.295	17.566	0.594	20.684
437	10.668	17.487	0.597	20.566
438	10.700	17.415	0.600	20.483
439	10.737	17.335	0.616	19.943
440	10.623	17.253	0.613	20.036
441	10.513	17.242	0.616	19.946
442	10.367	17.207	0.609	20.182
443	10.238	17.146	0.618	19.890
444	10.140	17.061	0.638	19.256
445	10.119	17.166	0.627	19.594
446	10.103	17.254	0.609	20.190
447	9.986	17.245	0.598	20.563
448	9.982	17.170	0.598	20.558
449	9.936	17.245	0.600	20.488
450	9.997	17.223	0.649	18.936
451	10.046	17.274	0.640	19.214
452	10.075	17.237	0.627	19.593
453	10.087	17.159	0.615	19.977
454	10.009	17.240	0.608	20.215
455	9.963	17.356	0.602	20.424
456	10.034	17.220	0.597	20.588
457	10.049	17.115	0.599	20.517
458	10.002	16.895	0.602	20.425
459	9.838	16.958	0.645	19.051
460	9.906	16.872	0.649	18.931
461	9.989	17.005	0.615	19.967
462	10.113	17.027	0.598	20.548
463	10.196	16.960	0.596	20.608
464	10.084	16.910	0.605	20.320
465	9.928	16.913	0.611	20.123
466	9.788	16.973	0.610	20.157
467	9.776	17.005	0.614	20.029
468	9.723	17.068	0.607	20.259
469	9.690	17.095	0.628	19.567
470	9.713	17.124	0.618	19.884
471	9.832	17.142	0.612	20.081
472	9.857	17.046	0.610	20.142
